Index,Description,Reviews,Price,Discount,Brand,TV_Type,TV_Size,TV_Pixels
0,"Samsung 55"" 4K UHD HDR LED Tizen Smart TV (UN55TU690TFXZC) - 2022 - Only at Best Buy",40,$599.99,15.5,Samsung,LED,55,4K
1,"Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43TU690TFXZC) - 2022 - Only at Best Buy",1015,$399.99,12.2,Samsung,LED,43,4K
2,"Samsung The Frame 65"" 4K UHD HDR QLED Tizen Smart TV (QN65LS03BAFXZC) - 2022 - Charcoal Black",418,"$2,299.99",$400,Samsung,LED,65,4K
3,"Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65TU7000FXZC) - Titan Grey",24374,$849.99,$50,Samsung,LED,65,4K
4,"Samsung 55"" 4K UHD HDR LED Tizen Smart TV (UN55CU7000FXZC) - 2023 - Titan Grey",157,$699.99,15.5,Samsung,LED,55,4K
5,"Sony X75K 55"" 4K UHD HDR LED Smart Google TV (KD55X75K) - 2022",493,$699.95,15.5,Sony,LED,55,4K
6,"Samsung 58"" 4K UHD HDR LED Tizen Smart TV (UN58TU7000FXZC) - Titan Grey",14619,$729.95,15.5,Samsung,LED,58,4K
7,"Open Box - Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65AU8000FXZC) - 2021",1685,$799.99,15.5,Samsung,LED,65,4K
8,"Samsung 65"" 4K UHD OLED Tizen Smart TV (QN65S95BAFXZC)",1999,"$2,599.95",15.5,Samsung,OLED,65,4K
9,"Samsung 55"" 4K UHD HDR LED Tizen Smart TV (UN55TU7000FXZC) - Titan Grey",20714,$649.99,0,Samsung,LED,55,4K
10,"Samsung 32"" 1080p HD LED Tizen Smart TV (UN32N5300AFXZC) - Glossy Black",7621,$299.99,$100,Samsung,LED,32,1080p
11,"Samsung 65"" 4K UHD HDR QLED Smart TV (QN65Q60CAFXZC) - 2023 - Titan Grey",93,"$1,199.99",15.5,Samsung,LED,65,4K
12,"Sony X75K 65"" 4K UHD HDR LED Smart Google TV (KD65X75K) - 2022",540,$849.99,15.5,Sony,LED,65,4K
13,"Samsung 55"" 4K UHD OLED Tizen Smart TV (QN55S95BAFXZC)",1467,"$1,899.99",15.5,Samsung,OLED,55,4K
14,"Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50TU690TFXZC) - 2022 - Only at Best Buy",764,$599.99,15.5,Samsung,LED,50,4K
15,"Sony BRAVIA 65"" 4K UHD HDR LED Google TV Smart TV (XR65X90K) - 2022",1068,"$1,499.99",0,Sony,LED,65,4K
16,"Samsung The Frame 55"" 4K UHD HDR QLED Tizen Smart TV (QN55LS03BAFXZC) - 2022 - Charcoal Black",418,"$1,999.99",$53,Samsung,LED,55,4K
17,"Open Box - Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65TU7000FXZC) - Titan Grey",4,$669.99,15.5,Samsung,LED,65,4K
18,"Samsung 55"" 4K UHD Neo QLED Tizen Smart TV (QN55QN90BAFXZC) - Titan Black",143,"$1,499.95",$400,Samsung,LED,55,4K
19,"LG NanoCell 65"" 4K UHD HDR LED webOS Smart TV (65NANO75UQA) - 2022 - Ashed Blue",453,$999.99,15.5,LG,LED,65,4K
20,"Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65TU690TFXZC) - 2022 - Only at Best Buy",49,$799.99,15.5,Samsung,LED,65,4K
21,"LG 65"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED65C2PUA) - 2022 - Dark Titan Silver",4770,"$2,499.99",15.5,LG,OLED,65,4K
22,"Toshiba 50"" 4K UHD HDR LED Smart TV (50C350KC) - Fire TV Edition - 2021 - Only at Best Buy",21,$629.99,0,Toshiba,LED,50,4K
23,"TCL 3-Series 40"" 1080p HD LED Roku Smart TV (40S355-CA) - 2022",7,$279.95,$80,TCL,LED,40,1080p
24,"Toshiba 55"" 4K UHD HDR LED Smart TV (55C350KC) - Fire TV Edition - 2021 - Only at Best Buy",56,$649.99,7.5,Toshiba,LED,55,4K
