Description,Reviews,Price,Discount,Brand,TV_Type,TV_Size,TV_Pixels,Status,Month
"LG 43"" 4K UHD HDR LED webOS Smart TV (43UQ7590PUB) - 2022 - Dark Iron Grey",1808,$449.99,12.2,LG,LED,43,4K,New,July
"LG 86"" 4K UHD HDR LED webOS Smart TV (86UQ7590PUD) - 2022 - Dark Iron Grey",17,"$1,799.99",15.5,LG,LED,86,4K,New,July
"Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50TU690TFXZC) - 2022 - Only at Best Buy",864,$499.99,$100,Samsung,LED,50,4K,New,July
"Sony X85K 65"" 4K UHD HDR LED Smart Google TV (KD65X85K) - 2022",505,"$1,099.99",$200,Sony,LED,65,4K,New,July
"Open Box - Samsung 70"" 4K UHD HDR LED Tizen OS Smart TV (UN70TU6985FXZC) - 2020",3,$629.99,$70,Samsung,LED,70,4K,Open Box,July
"Samsung 65"" 4K UHD HDR QLED Smart TV (QN65Q60CAFXZC) - 2023 - Titan Grey",163,"$1,099.99",$50,Samsung,LED,65,4K,New,July
"Philips 50"" 4K UHD HDR LCD Direct Lit Roku Smart TV (50PUL6673/F6) - 2023",2,$399.99,0,Philips,LCD,50,4K,New,July
"Samsung 32"" 1080p HD LED Tizen Smart TV (UN32N5300AFXZC) - Glossy Black",7792,$299.99,$50,Samsung,LED,32,1080p,New,July
"Samsung 55"" 4K UHD HDR LED Tizen Smart TV (UN55CU7000FXZC) - 2023 - Titan Grey",513,$699.99,12.2,Samsung,LED,55,4K,New,July
"Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43TU690TFXZC) - 2022 - Only at Best Buy",1127,$499.99,$200,Samsung,LED,43,4K,New,July
"Sony BRAVIA 75"" 4K UHD HDR LED Google TV Smart TV (XR75X90K) - 2022",681,"$1,799.99",$505,Sony,LED,75,4K,New,July
"LG 65"" 4K UHD HDR QNED webOS Smart TV (65QNED80UQA) - 2022 - Dark Titan Silver/Ashed Blue",935,$894.98,15.5,LG,QNED,65,4K,New,July
"Open Box - Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65TU7000FXZC) - Titan Grey",6,$679.99,12.2,Samsung,LED,65,4K,New,July
"Hisense 40"" 1080p HD LED VIDAA Smart TV (40A4KV) - 2023",3,$249.99,$200,Hisense,LED,40,1080p,New,July
"Samsung 65"" 4K UHD Neo QLED Tizen Smart TV (QN65QN90BAFXZC) - Titan Black",209,"$1,799.99",0,Samsung,LED,65,4K,New,July
"TCL 55"" S-Class 4K UHD HDR LED Smart Google TV (55S450G-CA) - 2023",38,$449.99,15.5,TCL,LED,55,4K,New,July
"Samsung 55"" 4K UHD OLED Tizen Smart TV (QN55S95BAFXZC)",1575,"$1,799.99",0,Samsung,OLED,55,4K,New,July
"TCL 50"" S-Class 4K UHD HDR LED Smart Google TV (50S450G-CA) - 2023",34,$399.99,15.5,TCL,LED,50,4K,New,July
"Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65TU690TFXZC) - 2022 - Only at Best Buy",466,$799.99,0,Samsung,LED,65,4K,New,July
"TCL 43"" S-Class 4K UHD HDR LED Smart Google TV (43S450G-CA) - 2023",39,$329.99,15.5,TCL,LED,43,4K,New,July
"Hisense 58"" 4K UHD HDR LED Roku Smart TV (58R63G) - 2022",1,$479.99,$30,Hisense,LED,58,4K,New,July
"Samsung 32"" 720p HD LED Tizen Smart TV (UN32M4500BFXZC) - Glossy Black",4696,$199.99,$100,Samsung,LED,32,720p,New,July
"Samsung The Frame 55"" 4K UHD HDR QLED Tizen Smart TV (QN55LS03BAFXZC) - 2022 - Charcoal Black",465,"$1,599.99",15.5,Samsung,LED,55,4K,New,July
"Samsung 55"" 4K UHD HDR LED Tizen Smart TV (UN55TU7000FXZC) - Titan Grey",20981,$649.99,15.5,Samsung,LED,55,4K,New,July
"Samsung 55"" 4K UHD HDR LED Tizen Smart TV (UN55TU690TFXZC) - 2022 - Only at Best Buy",52,$699.99,$50,Samsung,LED,55,4K,New,July
"Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65CU7000FXZC) - 2023 - Titan Grey",502,$899.99,$400,Samsung,LED,65,4K,New,July
"LG NanoCell 65"" 4K UHD HDR LED webOS Smart TV (65NANO75UQA) - 2022 - Ashed Blue",500,$999.99,15.5,LG,LED,65,4K,New,July
"LG 55"" 4K UHD HDR LED webOS Smart TV (55UQ7590PUB) - 2022 - Dark Iron Grey",44,$699.99,$150,LG,LED,55,4K,New,July
"TCL 55"" Q-Class 4K UHD HDR QLED Smart Google TV (55Q750G-CA) - 2023",53,$749.99,15.5,TCL,LED,55,4K,New,July
"Hisense 65"" 4K UHD HDR LED Roku Smart TV (65R63G) - 2022",1,$629.99,0,Hisense,LED,65,4K,New,July
"Samsung The Frame 65"" 4K UHD HDR QLED Tizen Smart TV (QN65LS03BAFXZC) - 2022 - Charcoal Black",464,"$2,699.99",15.5,Samsung,LED,65,4K,New,July
"Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50CU7000FXZC) - 2023 - Titan Grey",390,$649.99,15.5,Samsung,LED,50,4K,New,July
"LG 75"" 4K UHD HDR LED webOS Smart TV (75UQ7070ZUD) - 2022 - Grey - Only at Best Buy",926,$999.99,0,LG,LED,75,4K,New,July
"TCL 40"" S-Class 1080p HD HDR LED Smart Google TV (40S350G-CA) - 2023",9,$269.99,15.5,TCL,LED,40,1080p,New,July
